Date,Predicted_Volatility,Stop-Loss (%),Stop-Loss ($)
2025-03-09 00:00:00,0.0007278783091011,0.07278783091011,61.1417779644924
2025-03-10 00:00:00,0.0007257528180929,0.07257528180929,60.963236719803604
2025-03-11 00:00:00,0.0007239240464747,0.07239240464747,60.8096199038748
2025-03-12 00:00:00,0.0007223505721018,0.07223505721018,60.677448056551206
2025-03-13 00:00:00,0.0007209967553772,0.07209967553772001,60.56372745168481
2025-03-14 00:00:00,0.0007198319320058,0.07198319320058,60.4658822884872
2025-03-15 00:00:00,0.0007188297184403,0.07188297184403,60.3816963489852
2025-03-16 00:00:00,0.0007179674142871,0.07179674142871,60.3092628001164
2025-03-17 00:00:00,0.0007172254881367,0.07172254881367,60.2469410034828
2025-03-17 14:25:29,0.000716587135172,0.0716587135172,60.19331935444801
